id,generate id,RFID,generalInfo.name,generalInfo.discipline,generalInfo.nfdiConsortia,generalInfo.domain,generalInfo.altName,generalInfo.provider,generalInfo.RDItype,generalInfo.description,generalInfo.contactName,generalInfo.contactEmail,generalInfo.url,generalInfo.re3dataIdentifier,generalInfo.datasetsSearchCollectionId,generalInfo.Type_of_resources_present ,generalInfo.License,generalInfo.license_source_link,generalInfo.Type_of_access_rights ,generalInfo.NFDI_link,lawAndEthics.dataProvider,lawAndEthics.instituteType,lawAndEthics.complianceMeasures,lawAndEthics.dataTypes,lawAndEthics.applicableRegulations,lawAndEthics.accessRights,lawAndEthics.embargoPeriod,technicalInfo.metadataStandards.standards,technicalInfo.metadataStandards.interoperabilityLevel,technicalInfo.accessProtocols.supportedProtocols,technicalInfo.accessProtocols.authenticationMethods,technicalInfo.accessProtocols.persistentIdentifiers,technicalInfo.maintenance.softwareLicense,technicalInfo.maintenance.sustainabilityPlan,technicalInfo.maintenance.supportServices,technicalInfo.maintenance.updateFrequency,FAIRness.findability.persistentIdentifier,FAIRness.findability.richMetadata,FAIRness.findability.indexedInSearchEngines,FAIRness.findability.metadataSchema,FAIRness.findability.metadataPersistence,FAIRness.accessibility.retrievalProtocol,FAIRness.accessibility.authenticationRequired,FAIRness.accessibility.authenticationType,FAIRness.accessibility.metadataAlwaysAvailable,FAIRness.accessibility.dataAvailability,FAIRness.interoperability.knowledgeRepresentation,FAIRness.interoperability.vocabulariesUsed,FAIRness.interoperability.qualifiedReferences,FAIRness.interoperability.apiAvailability,FAIRness.interoperability.dataFormats,FAIRness.reusability.licenseClarity,FAIRness.reusability.provenanceInfo,FAIRness.reusability.communityStandards,FAIRness.reusability.documentationQuality,FAIRness.reusability.citationGuidelines,FAIRness.assessmentDate,FAIRness.assessmentMethod,FAIRness.overallFAIRScore,agriculturalContext.researchDomains,agriculturalContext.cropTypes,agriculturalContext.geographicCoverage,agriculturalContext.temporalCoverage.startYear,agriculturalContext.temporalCoverage.endYear,agriculturalContext.temporalCoverage.temporalResolution
67,RFId067202606012,RFId068202604272,Suprabank,Natural Sciences,NFDI4Chem,"Natural Sciences, Chemistry",,"Karlsruhe Institut für Technologie, Institut für Nanotechnologie",,An open resource for intermolecular interactions,,contact@suprabank.org,https://suprabank.org/,r3d100013265,,Datasets,CC; CC0,https://www.re3data.org/repository/r3d100013265,unrestricted,https://knowledgebase.nfdi4chem.de/knowledge_base/docs/choose_repository/,"Karlsruhe Institut für Technologie, Institut für Nanotechnologie",,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,RFId068202606012,RFId069202604272,Cambridge Structural Database,Natural Sciences,NFDI4Chem,"Natural Sciences, Chemistry",Cambridge Crystallographic Data Centre,Cambridge Crystallographic Data Centre,Repository,"The CSD is a comprehensive repository of over one million experimentally determined 3D crystal structures of organic and metal-organic compounds, supporting global research through both published and directly deposited data.",,hello@ccdc.cam.ac.uk ; support@ccdc.cam.ac.uk,https://www.ccdc.cam.ac.uk/solutions/software/csd/,r3d100010197,,"Crystal structure data (atomic coordinates, unit‑cell parameters, metadata)."," The Cambridge Structural Database (CSD) data is provided under a custom, restricted license that permits personal and non-commercial use only, with commercial use requiring a separate license from the CCDC",https://www.ccdc.cam.ac.uk/terms-and-conditions/,restricted,https://knowledgebase.nfdi4chem.de/knowledge_base/docs/choose_repository/,Cambridge Crystallographic Data Centre,,,,,restricted,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
69,RFId069202606012,RFId070202604272,Inorganic Crystal Structure Database,Natural Sciences,NFDI4Chem,"Natural Sciences, Chemistry",ICSD Web,FIZ Karlsruhe - Leibniz Institut für Informationsinfrastruktur,Database,"Largest curated collection of experimentally determined inorganic crystal structures from X‑ray and neutron diffraction; includes atomic coordinates, cell parameters and bibliographic metadata; covers minerals, oxides, intermetallics, halides, ceramics and other non‑organic compounds",,contact@fiz-karlsruhe.de,https://icsd.products.fiz-karlsruhe.de/,r3d100010085,,Inorganic crystal structure data sets,ICSD Web – Academic user single license,https://icsd.products.fiz-karlsruhe.de/support/icsd-versions-and-licenses,restricted,https://knowledgebase.nfdi4chem.de/knowledge_base/docs/choose_repository/,FIZ Karlsruhe - Leibniz Institut für Informationsinfrastruktur,,,,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,RFId070202606012,RFId071202604272,NOMAD,Natural Sciences,NFDI4Chem,"Natural Sciences, Chemistry","NOMAD: Materials science data, managed and shared",Humboldt Universität zu Berlin ,Web portal,"NOMAD is used to organize, analyze, share, and publish your materials science data, as well as explore, download, and analyze the data.",,contact@nomad-lab.eu ,https://nomad-lab.eu/,r3d100011583,,"Computational datasets, simulation data, materials properties data, workflows, metadata",Creative Commons Attribution 4.0 License.,https://nomad-lab.eu/nomad-lab/terms.html,partially restricted,https://knowledgebase.nfdi4chem.de/knowledge_base/docs/choose_repository/,Humboldt Universität zu Berlin ,,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,RFId071202606012,RFId072202604272,iochem-BD,Natural Sciences,NFDI4Chem,"Natural Sciences, Chemistry",,"Institute of Chemical Research of Catalonia (ICIQ) – developed at ICIQ in collaboration with Universitat Rovira i Virgili (URV), Universitat Autònoma de Barcelona (UAB), and ICREA; repository service hosted by Barcelona Supercomputing Center (BSC)",Repository,ioChem-BD is a Digital Repository to manage Computational Chemistry and Material Science digital assets.,,contact@iochem-bd.org : malvarez@iciq.es,https://www.iochem-bd.org/,r3d100012553,,"Computational chemistry and materials science research data (e.g. quantum chemistry calculation outputs and related datasets), converted and stored in a standard Chemical Markup Language (CML) format","Creative Commons Attribution 4.0 International (CC BY 4.0) for data (with certain components, such as generated HTML report files, under a CC BY-NC-ND 4.0 license)",https://www.datacc.org/en/warehouses/iochem-bd/,unrestricted,https://knowledgebase.nfdi4chem.de/knowledge_base/docs/choose_repository/,"Institute of Chemical Research of Catalonia (ICIQ) – developed at ICIQ in collaboration with Universitat Rovira i Virgili (URV), Universitat Autònoma de Barcelona (UAB), and ICREA; repository service hosted by Barcelona Supercomputing Center (BSC)",,,,,unrestricted,,,,,,,,,,,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
72,RFId072202606012,RFId073202604272,EUDATA B2SHARE,Natural Sciences,NFDI4Chem,"Life Sciences, Engineering Sciences, Natural Sciences, Humanities and Social Sciences",EUDAT CDI B2SHARE,EUDAT Ltd (service owner) and CSC – IT Center for Science Ltd,Repository,"User-friendly service to store, publish, and share research data in a FAIR way; supports community metadata extensions, access rules and workflows; assigns persistent identifiers (DOI for datasets and Handle PIDs for data objects); metadata is openly accessible and discoverable via EUDAT discovery services.",,info@eudat.eu,https://b2share.eudat.eu/,r3d100011394,,Datasets (“records”) that include data files + metadata; community-specific metadata schema extensions; persistent identifiers (DOI + Handle) and checksums; machine interfaces: REST API and OAI-PMH,Dataset-level licence is chosen by depositor (supports Creative Commons and “other” licences); licence selector tool is available during deposition to guide choice,https://eudat.eu/services/userdoc/license-selector,partially restricted,https://nfdi4chem.de/repos/,EUDAT Ltd (service owner) and CSC – IT Center for Science Ltd,,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,RFId073202606012,RFId074202604272,Semantic Lookup Platform,Natural Sciences,NFDI4Chem ; NFDI4Health,"Life Sciences, Chemistry, Biomedicine",SemlookP,Leibniz Institute of Plant Biochemistry (IPB Halle),Repository,"SemLookP is a semantic lookup and ontology integration service supporting FAIR metadata annotation and search in the life sciences. It is built on the EBI Ontology Lookup Service (OLS) and Ontology Xref (OxO) mapping tool. SemLookP provides access to key standardized ontologies for annotating human, mouse and rat omics data and clinical data, and includes terminologies for genes, gene variants, transcripts (mRNAs/miRNAs), and proteins. A mapping service connects concepts across different vocabularies, allowing researchers to semantically annotate data and literature in an unambiguous, interoperable way",,semlookp-support@zbmed.de,https://semanticlookup.zbmed.de,,,"Standardized terminologies/ontologies (controlled vocabularies in health and chemistry domains) and their cross-reference mappings. SemLookP’s public instance includes major biomedical vocabularies (e.g. SNOMED CT, ICD) and domain ontologies like FoodEx2/FOODON for nutrition, etc., plus mappings between equivalent terms across these resources","Varied by source ontology. Ontologies accessible via SemLookP are subject to their individual licenses: many are open (e.g. CC BY or CC0 for public ontologies like FOODON), while some medical terminologies (e.g. SNOMED CT, ICD) have restricted or proprietary licensing",https://blog.zbmed.de/forschung-daten-fair-nfdi4health,unrestricted,https://www.nfdi4health.de/en/service/terminology-service.html,Leibniz Institute of Plant Biochemistry (IPB Halle),,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,RFId074202606012,RFId075202604272,VibSpecDB ,Natural Sciences,NFDI4Chem,Chemistry,,NFDI4Chem consortium,,"VibSpecDB is an open-access, cloud-based data repository and processing platform specifically designed for the vibrational spectroscopy community (such as Raman and Infrared/IR spectroscopy). Built using a modern microservices architecture, it enables researchers to download, process, visually navigate, and publish their spectral datasets according to FAIR data principles.",,helpdesk@nfdi4chem.de,https://vibspecdb.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,RFId075202606012,RFId076202604272,Repo4Cat,Engineering Sciences,NFDI4Cat,Chemistry,,DECHEMA,Service Portal,"This Central Platform brings everything together in one place – a hub where research can be shared, discovered, and advanced collaboratively. It enables researchers to make their work visible, find relevant information and tools, and connect with others.",Dr. Sara Espinoza,"sara.espinoza@dechema.de, info@nfdi4cat.org",https://repository.nfdi4cat.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,RFId076202606012,RFId077202604272,Soil Wise,Life Sciences,NA,Life Sciences,,"BioSense Institute, Novi Sad, Serbia",Repository,"SoilWise HE (soilwise-he.eu) is an open-access European data and knowledge repository funded by the Horizon Europe ""Mission Soil"" project, designed to safeguard and improve soil health by 2030. It functions as an integrated, actionable hub that brings together scattered, mismatched soil datasets from across Europe, making them Findable, Accessible, Interoperable, and Reusable (FAIR) for researchers, farmers, and policymakers. By utilizing machine learning, AI-driven natural language processing, and integrated knowledge graphs, the platform harmonizes heterogeneous data—such as soil erosion, carbon sequestration, and contaminant metrics—to provide a reliable infrastructure for data-driven spatial policies and informed decision-making.",,soilwise@biosense.rs,https://repository.soilwise-he.eu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,RFId077202606012,RFId078202604272,DaKS,Multidesciplinary,NA,"Life Sciences, Agricultural Sciences, Forestry, Animal Nutrition, Engineering Sciences, Natural Sciences","Datenrepositorium Kassel, Datenrepository der Universität Kassel, Datarepository of the University of Kassel",Universität Kassel,Repository,"DaKS is the institutional repository of the University of Kassel for research data. It offers structured storage of research data alongside with descriptive metadata, long-term archiving for at least 10 years and – if requested – the publication of the dataset with a DOI.",,"forschungsdaten@uni-kassel.de, daks@uni-kassel.de",https://daks.uni-kassel.de/,r3d100013608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,RFId078202606012,RFId079202605193,EWRS - Euroean Weed Research Society,Life Sciences,NA,"Plant Sciences, Life Sciences",,European Weed Research Society.,,The AWME database contains weed vegetation survey data from across Europe,,scicom.secretary@ewrs.org,https://ewrs.org/en/Working-Groups/Weed-Vegetation-and-Biodiversity/AWME-database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
